nomis_agency_id,postcode
ABDRCT,CF44 7DW
ABRYCT,SY24 5BW
ABRYMC,SY23 2DE
ALDRCT,GU11 1SS
ALDRMC,GU11 1NY
ASHFCT,TN23 1QQ
ASHTMC,OL6 7TP
AYLSCT,HP20 2NQ
AYLSCC,HP20 1XD
AYLSMC,HP21 7QZ
BANBCT,OX16 5LZ
THA053,OX16 2AW
LDM083,IG6 1HW
BRNTCT,N3 1BQ
BRNSCT,S70 2EW
BRNSMC,S70 2DW
BNSTCT,EX31 1DX
BNSTMC,EX31 1DY
BRRWCT,LA14 2EZ
BSLDCT,SS14 2EU
BSLDCC,SS14 2EU
BSLDMC,SS14 1EH
BSNGCT,RG21 4HG
BSNGMC,RG21 4AB
BATHCT,BA1 1DJ
BATHMC,BA1 5AF
BDFRMC,MK40 1SQ
BDFRCT,MK40 3NN
BDLNMC,NE22 7LX
BRWKMC,TD15 1DZ
BEVRMC,HU17 9EJ
BEXLMC,DA6 7NB
BRKNCT,CH41 5EN
BRKNMC,CH41 5HW
BRMNCT,B4 6DS
BCCACC,B4 7NA
BISHCT,DL14 7HF
BLKBCT,BB1 6DJ
BLKBMC,BB2 1 AA
BLKPCT,FY1 5RJ
BLKPMC,FY1 5RH
BLKWCT,NP12 2XB
BODMCT,PL31 2HJ
BODMMC,PL31 2BQ
BOLTCT,BL1 1SU
BOSTCT,PE21 6PE
BOSTMC,PE21 6PE
BRNMCT,BH7 7DS
BRNMCC,BH7 7DS
BRAAIT,BD3 7BH
BRADCT,BD1 1JA
BRADCC,BD1 1JA
BRADMC,BD1 1JL
BRCKCT,LD3 7HR
BRTFCT,TW8 0JJ
BRDLMC,YO16 9EJ
BRGHCT,BN2 2RF
BRSTCT,BS1 2NR
BRSTCC,BS1 1DA
BRSTMC,BS1 3NU
BRMLCT,BR1 3PX
BROMMC,BR1 1RA
BURNCT,BB11 1XD
BURNMC,BB10 2NQ
BRTNCT,DE14 1BP
BURYCT,BL9 0HJ
BRSECT,IP33 1TR
CRNRCT,LL55 2DF
CAMBCT,CB2 1UA
CAMBCC,CB1 1BT
CAMBMC,CB2 3AX
CANNMC,WS11 1AT
CANTCT,CT1 1ZA
CANTCC,CT1 1ZA
CANTMC,CT1 2UE
CRDFCT,CF10 1ES
CRDFCC,CF10 3PG
CRDFMC,CF24 0RZ
CARLCT,CA1 1DJ
CARLCC,CA1 1DJ
CARLMC,CA3 8QH
CARMCT,SA31 1BJ
CNTRCC,EC4M 7EH
PRINCT,WC1V 6NP
LONDCT,W1N 3PD
CHLMCT,CM2 0QR
CHLMCC,CM1 1EL
CHLMMC,CM1 1NT
CHELCT,GL50 1HB
CHELMC,GL50 3PF
CHESCT,CH1 1SN
CHESCC,CH1 2AN
CHESMC,CH1 2XA
CHSTCT,S41 7TD
CHSTMC,S41 7TW
CHRLCT,PR7 1JE
CITYMC,EC4N 4XY
CLRKCT,N1 8AN
CLCHCT,CO3 3EG
COLHMC,CO1 1HF
CNSTCT,DH8 5AU
CNWYCT,LL29 8LA
COACD,WC2A 2LL
CVNTCT,CV1 2SN
CVNTCC,CV1 2SN
CVNTMC,CV1 2SQ
CRAWMC,RH10 1XD
CREWCT,CW1 2DP
CREWMC,CW1 2DT
CRYDCT,CR9 5AB
CRYDCC,CR9 5AB
CRYDMC,CR9 3NG
CWMBMC,NP44 3YA
DARLCT,DL3 7RL
DRTFCT,DA1 1DX
DRBYCT,DE1 2XE
DRBYCC,DE1 2XE
DRBYMC,DE1 2EP
DEWSCT,WF13 2PE
DONCCT,DN1 3BT
DONCCC,DN1 3HS
DONCMC,DN1 3HU
DUDLCT,DY5 1LN
DUDLMC,DY1 1RY
DURHCT,DH1 3RG
DURHCC,DH1 3HW
EALNMC,W13 0SD
EASBCT,BN21 3SZ
EDMNCT,N18 2TN
EPSMCT,KT18 5DN
EVSHCT,WR11 4EE
EXETCT,EX4 3PS
FLKSMC,CT20 2DH
GTSHCT,NE8 3HY
GTSHMC,NE8 1DT
GLOCCT,GL1 2DE
GLOCCC,GL1 2TG
GRNTCT,NG31 6NJ
GRVSCT,DA12 2DU
GRIMCT,Dn31 1HX
GRTYMC,NR30 1PW
GRIMMC,DN31 1PD
GLDFCT,GU1 4PS
GLDFCC,GU1 4ST
GLDFMC,GU1 4AS
HLFXCT,HX1 2JJ
HRLWCT,CM20 1UW
HRRGCT,HG1 1EL
HRRGMC,HG1 1LS
HRRWCC,HA1 4TU
HRTLCT,TS24 8BS
HSTNCT,TN34 1QX
HSTNMC,TN34 1ND
HATFMC,AL10 9LT
HVRFCT,SA61 2AZ
HVRFMC,SA61 2AZ
HYWHCT,RH16 1YZ
HNDNMC,NW9 7BY
HRFRCT,HR4 9BA
HERFCC,HR4 0BA
HERFMC,HR1 2HE
HERTCT,SG13 8DY
HWYCCT,HP11 1LR
HIGHMC,HP11 1LR
HIGBMC,N7 8JA
HRSHCT,RH12 2EU
HRSHMC,RH12 2ET
HUDRCT,HD1 2RR
HUDRMC,HD1 2NH
HUNTCT,PE29 3BD
ILFDCT,IG1 1TP
INNRCC,SE1 6AZ
IPSWCT,IP1 1EJ
IPSWCC,IP1 2DX
IPSWMC,IP1 2AP
ISLWCC,TW7 5LP
KGHLCT,BD21 3SH
KENDCT,LA9 4NF
KTTRCT,NN16 0DN
KDDRCT,DY10 1QR
KIDDMC,DY10 1QQ
KNGSCT,PE30 1ES
KNGHCT,HU1 2EZ
KINGCC,HU1 2EZ
KNGHMC,HU1 2AD
KNGTCT,KT1 2AD
KNGTCC,KT1 2BB
LANCCT,LA1 1UZ
LANCCC,LA1 1YJ
LANCMC,LA1 1XZ
LEEDMC,LS1 3JP
LEICCT,LE1 6ZZ
LEICCC,LE1 6HG
LEICMC,LE1 9BE
LEIGCT,WN7 1YF
LEWSCT,BN7 1YB
LEWSCC,BN7 1YB
LINCCT,LN5 7PS
LINCCC,LN1 3GA
LINCMC,LN5 7QA
LVRPCT,L2 1XA
LLNWMC,LD1 5DF
LLDUMC,LL30 1GA
LLNLCT,SA15 3AL
LLNLMC,SA15 3AW
LLNGCT,LL77 7EN
LGHBMC,LE11 1AZ
LWSTCT,NR32 1NL
LUDLCT,SY8 1AQ
LUTNCT,LU1 2PU
LUTNCC,LU1 2AA
LUTNMC,LU1 5BL
MDSTCT,ME16 8EQ
MDSTCC,ME16 8EQ
MDSTMC,ME15 6LL
MANCCT,M60 9DJ
MNCHCT,M3 3JU
MNCHMC,M60 1PR
MNSFCT,NG18 1EU
MNSFMC,NG19 6EE
MRGTMC,CT9 1BD
MDWYCT,ME4 4DW
MEDWMC,ME4 4JZ
MLTNCT,LE13 1JY
MDDLMC,TS1 2AS
MDDLCT,TS1 2AE
MLTKCT,MK9 2DT
MLTKMC,MK9 2AJ
MOLDCT,CH7 1AE
NEATCT,SA13 1SB
NLSNCT,BB9 9SU
NWRKCT,NG24 1XB
NWBRCT,RG14 5BY
NWCSCT,NE1 3LA
NWCSCC,NE1 1RQ
STRAMC,E15 4SB
NWPRCT,PO30 5YT
NWPRCC,NP20 4PR
NEWPMC,NP20 4PR
NWPWCT,NP19 7AA
NWTAMC,TQ12 1LA
NWAYMC,DL5 5RT
NRTSCT,NE30 1AG
NRTSMC,NE30 1AG
NORSMC,BS23 1UX
NEWLMC,ST5 2DG
NORAMC,DL7 8QZ
NRTHCC,NN1 3HQ
NRTHMC,NN1 3EB
NRTWCT,CW9 5DB
NORWCT,NR3 1UR
NORWCC,NR3 1UR
NORWMC,NR3 1UP
NOTTCT,NG1 7EJ
NOTTCC,NG1 7EL
NOTTMC,NG2 1EE
NUNTCT,CV11 4EL
NHWKMC,CV11 4JU
OLDHCT,OL1 1NL
OSWSCT,SY11 2SN
OXFDCT,OX1 1TL
OXFDCC,OX1 1TL
OXFRMC,OX1 1RZ
PENRCT,CA11 7QL
PENZCT,TR18 4GH
PBORCT,PE1 1EJ
PBORCC,PE1 1EJ
PBORMC,PE1 1ED
PTRLMC,SR8 1QR
PLYMCC,PL1 2ER
PLYMMC,PL1 2DP
PONTCT,WF8 1RJ
PNTPCT,NP4 6NZ
PNTYCT,CF37 1JR
POOLCT,BN15 2NS
POOLMC,BH15 2RH
PRTSCC,PO1 2EB
PRTSMC,PO1 2DQ
PRCORC,PR2 9NB
PRESCT,PR1 2LL
PRESCC,PR1 2LL
PRSHCC,PR1 2QY
PRESMC,PR1 2QT
RWTNCT,BB4 7RT
READCT,RG1 1HE
READCC,RG1 3EH
READMC,RG1 7TQ
RDDTCT,B97 4AB
RDDTMC,B98 8DB
REIGCT,RH1 6BL
RMFRCT,RM1 4DP
RMFRMC,RM1 3BH
ROTHCT,S60 1YW
RGBYCT,CV21 2RN
RHYLCT,LL18 3LA
